rtcDate,rtcTime,Q6_1,Q6_2,Q6_3,RawAX,RawAY,RawAZ,RawGX,RawGY,RawGZ,RawMX,RawMY,RawMZ,gps_Lat,gps_Long,gps_Alt,gps_GroundSpeed,gps_Heading,degC,pressure_hPa,pressure_Pa,altitude_m,output_Hz,count,
01/01/2000,02:15:27.31,0.01373,-0.02533,-1.54504,-8006,11,18,-5,0,0,-439,47,21143,0,0,0,0,0,23.4766,1010.17,97133.33,354.92,7.143,1,
01/01/2000,02:15:27.48,0.00073,-0.00043,0.0,0,0,238,160,-433,53,-37,26870,20497,0,0,0,0,0,23.4688,1010.11,97130.71,355.37,8.333,2,
01/01/2000,02:15:27.58,0.00391,0.01522,-0.00270,-542,-150,-8048,14,19,-6,238,165,-423,0,0,0,0,0,23.4766,1010.13,97128.09,355.37,9.091,3,
01/01/2000,02:15:27.68,0.00441,0.01716,-0.00303,-704,-204,-8012,7,17,-1,231,170,-438,0,0,0,0,0,23.4922,1010.19,97128.09,355.37,9.302,4,
01/01/2000,02:15:27.78,0.00479,0.01924,-0.00332,-674,-220,-8036,13,16,-2,228,167,-442,0,0,0,0,0,23.4688,1010.21,97133.33,354.92,9.259,5,
01/01/2000,02:15:27.88,0.00528,0.02152,-0.00362,-522,-184,-8064,11,20,-3,228,162,-438,0,0,0,0,0,23.4922,1010.19,97128.09,355.37,9.375,6,
01/01/2000,02:15:27.98,0.00569,0.02351,-0.00382,-662,-220,-8044,11,17,0,232,168,-429,0,0,0,0,0,23.4844,1010.31,97130.71,355.14,9.589,7,
01/01/2000,02:15:28.08,0.00628,0.02582,-0.00411,-670,-248,-8024,11,13,-2,238,172,-433,0,0,0,0,0,23.4844,1010.20,97125.47,355.59,9.524,8,
01/01/2000,02:15:28.18,0.00683,0.02829,-0.00453,-544,-182,-7996,12,14,-14,245,165,-435,0,0,0,0,0,23.4922,1010.18,97128.09,355.37,9.574,9,
01/01/2000,02:15:28.28,0.00727,0.03034,-0.00480,-662,-150,-8090,12,13,-3,230,168,-432,0,0,0,0,0,23.5000,1010.10,97128.09,355.82,9.709,10,
01/01/2000,02:15:28.38,0.00777,0.03278,-0.00520,-678,-222,-7992,13,15,-6,244,163,-437,0,0,0,0,0,23.4922,1010.30,97130.71,355.14,9.649,11,
01/01/2000,02:15:28.48,0.00838,0.03519,-0.00559,-628,-198,-8024,7,15,-6,230,176,-434,0,0,0,0,0,23.5000,1010.19,97117.61,355.59,9.677,12,
01/01/2000,02:15:28.58,0.00891,0.03731,-0.00594,-620,-124,-8040,11,14,-10,247,166,-432,0,0,0,0,0,23.5078,1010.22,97122.84,355.82,9.774,13,
01/01/2000,02:15:28.68,0.00944,0.03990,-0.00642,-646,-144,-8020,7,16,-9,227,168,-437,0,0,0,0,0,23.5000,1010.28,97122.84,355.82,9.722,14,
01/01/2000,02:15:28.78,0.00991,0.04214,-0.00662,-564,-166,-8054,13,16,-4,231,175,-431,0,0,0,0,0,23.5000,1010.23,97120.23,356.05,9.804,15,
01/01/2000,02:15:28.88,0.01061,0.04484,-0.00693,-636,-120,-8034,12,16,-4,232,161,-439,0,0,0,0,0,23.5078,1010.23,97128.09,355.37,9.756,16,
01/01/2000,02:15:28.98,0.01131,0.04757,-0.00736,-714,-180,-8060,13,12,-6,238,162,-431,0,0,0,0,0,23.4922,1010.32,97122.84,355.37,9.770,17,
01/01/2000,02:15:29.08,0.01182,0.04994,-0.00768,-666,-216,-8044,11,16,-8,234,171,-439,0,0,0,0,0,23.5078,1010.07,97122.84,355.82,9.836,18,
01/01/2000,02:15:29.18,0.01253,0.05283,-0.00804,-700,-78,-8052,12,16,-8,240,167,-431,0,0,0,0,0,23.5078,1010.21,97130.71,355.14,9.794,19,
